parameter_name,parameter_shortnames,unit_symbols
Cadmium : Wet Wt,[1254 8646],"{1254: array(['mg/kg'], dtype=object), 8646: array(['µg/kg'], dtype=object)}"
Flow : Staff gauge,[7332 7661],"{7332: array(['m'], dtype=object), 7661: array(['m'], dtype=object)}"
Iron,[6051  421],"{421: array(['mg/l'], dtype=object), 6051: array(['µg/l'], dtype=object)}"
Cadmium : Wet Wt,[8646 1254],"{1254: array(['mg/kg'], dtype=object), 8646: array(['µg/kg'], dtype=object)}"
Flow : Staff gauge,[7332 7661],"{7332: array(['m'], dtype=object), 7661: array(['m'], dtype=object)}"
Grain Size Fraction : 11.4 to 9.1 microns,[7447 5533],"{5533: array(['%'], dtype=object), 7447: array(['%'], dtype=object)}"
Grain Size Fraction : 30.3 to 23.7 microns,[5537 7454],"{5537: array(['%'], dtype=object), 7454: array(['%'], dtype=object)}"
Grain Size Fraction : 7.2 to 5.8 microns,[5531 7460],"{5531: array(['%'], dtype=object), 7460: array(['%'], dtype=object)}"
Grain Size Fraction : 9.1 to 7.2 microns,[7462 5532],"{5532: array(['%'], dtype=object), 7462: array(['%'], dtype=object)}"
Grain Size Fraction : < 2000 microns,[5546 7464],"{5546: array(['%'], dtype=object), 7464: array(['%'], dtype=object)}"
Grain Size Fraction : < 5.8 microns,[5530 7465],"{5530: array(['%'], dtype=object), 7465: array(['%'], dtype=object)}"
Oil : Total Mineral,[612 802],"{612: array(['mg/l'], dtype=object), 802: array(['g/kg'], dtype=object)}"
Cadmium : Wet Wt,[8646 1254],"{1254: array(['mg/kg'], dtype=object), 8646: array(['µg/kg'], dtype=object)}"
Conductivity : In Situ,[3170 7273],"{3170: array(['µS/cm'], dtype=object), 7273: array(['mS/cm'], dtype=object)}"
Flow : Staff gauge,[7661 7332],"{7332: array(['m'], dtype=object), 7661: array(['m'], dtype=object)}"
Cadmium : Wet Wt,[8646 1254],"{1254: array(['mg/kg'], dtype=object), 8646: array(['µg/kg'], dtype=object)}"
Conductivity : In Situ,[3170 7273],"{3170: array(['µS/cm'], dtype=object), 7273: array(['mS/cm'], dtype=object)}"
Iron,[6051  421],"{421: array(['mg/l'], dtype=object), 6051: array(['µg/l'], dtype=object)}"
"Iron, Dissolved",[6460  419],"{419: array(['mg/l'], dtype=object), 6460: array(['µg/l'], dtype=object)}"
Lambda-cyhalothrin,[3932 9472],"{3932: array(['ng/l'], dtype=object), 9472: array(['µg/l'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Cadmium : Wet Wt,[8646 1254],"{1254: array(['mg/kg'], dtype=object), 8646: array(['µg/kg'], dtype=object)}"
Conductivity : In Situ,[3170 7273],"{3170: array(['µS/cm'], dtype=object), 7273: array(['mS/cm'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Cadmium : Wet Wt,[8646 1254],"{1254: array(['mg/kg'], dtype=object), 8646: array(['µg/kg'], dtype=object)}"
Conductivity : In Situ,[3170 7273],"{3170: array(['µS/cm'], dtype=object), 7273: array(['mS/cm'], dtype=object)}"
Oil : Total Mineral,[612 802],"{612: array(['mg/l'], dtype=object), 802: array(['g/kg'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Cadmium : Wet Wt,[8646 1254],"{1254: array(['mg/kg'], dtype=object), 8646: array(['µg/kg'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Phosphate as P,[6025 9449],"{6025: array(['µmol/l'], dtype=object), 9449: array(['µg/l'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Salinity,[7609 1198],"{1198: array(['g/kg'], dtype=object), 7609: array(['ppt'], dtype=object)}"
Flow : Daily mean,[39 38],"{38: array(['Ml/d'], dtype=object), 39: array(['m³/s'], dtype=object)}"
Ethanol,[ 782 4885],"{782: array(['mg/l'], dtype=object), 4885: array(['µg/l'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Cypermethrin,[  73 4603],"{73: array(['µg/l'], dtype=object), 4603: array(['µg'], dtype=object)}"
Flow : Daily mean,[39 38],"{38: array(['Ml/d'], dtype=object), 39: array(['m³/s'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Flow : Daily mean,[39 38],"{38: array(['Ml/d'], dtype=object), 39: array(['m³/s'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
1-Propanol :- {n-Propanol},[1024 4329],"{1024: array(['mg/l'], dtype=object), 4329: array(['µg/l'], dtype=object)}"
Ethanol,[ 782 4885],"{782: array(['mg/l'], dtype=object), 4885: array(['µg/l'], dtype=object)}"
Methanol,[ 777 4889],"{777: array(['mg/l'], dtype=object), 4889: array(['µg/l'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Flow : Daily mean,[38 39],"{38: array(['Ml/d'], dtype=object), 39: array(['m³/s'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Turbidity,[  68 6396],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
Anthracene,[3797 6753],"{3797: array(['ng/l'], dtype=object), 6753: array(['µg/l'], dtype=object)}"
Benzo(a)Pyrene,[ 718 6399],"{718: array(['ng/l'], dtype=object), 6399: array(['µg/l'], dtype=object)}"
Benzo(b)Fluoranthene,[3278  731],"{731: array(['µg/l'], dtype=object), 3278: array(['ng/l'], dtype=object)}"
"Benzo(g,h,i)Perylene",[3279  714],"{714: array(['µg/l'], dtype=object), 3279: array(['ng/l'], dtype=object)}"
Benzo(k)Fluoranthene,[3280  733],"{733: array(['µg/l'], dtype=object), 3280: array(['ng/l'], dtype=object)}"
DDE -pp,[3294  551],"{551: array(['µg/l'], dtype=object), 3294: array(['ng/l'], dtype=object)}"
DDT -op,[3296  539],"{539: array(['µg/l'], dtype=object), 3296: array(['ng/l'], dtype=object)}"
DDT -pp,[3297  555],"{555: array(['µg/l'], dtype=object), 3297: array(['ng/l'], dtype=object)}"
Dichlorvos,[3300  507],"{507: array(['µg/l'], dtype=object), 3300: array(['ng/l'], dtype=object)}"
Fluoranthene,[3309  736],"{736: array(['µg/l'], dtype=object), 3309: array(['ng/l'], dtype=object)}"
Heptachlor,[ 527 3315],"{527: array(['µg/l'], dtype=object), 3315: array(['ng/l'], dtype=object)}"
"Indeno(1,2,3-cd)pyrene",[3316  746],"{746: array(['µg/l'], dtype=object), 3316: array(['ng/l'], dtype=object)}"
TDE -pp,[3330  559],"{559: array(['µg/l'], dtype=object), 3330: array(['ng/l'], dtype=object)}"
Turbidity,[  68 6396],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
cis-Heptachlor epoxide,[3438 8864],"{3438: array(['ng/l'], dtype=object), 8864: array(['µg/l'], dtype=object)}"
trans-Heptachlor epoxide,[3439 8865],"{3439: array(['ng/l'], dtype=object), 8865: array(['µg/l'], dtype=object)}"
Anthracene,[3797 6753],"{3797: array(['ng/l'], dtype=object), 6753: array(['µg/l'], dtype=object)}"
Benzo(a)Pyrene,[ 718 6399],"{718: array(['ng/l'], dtype=object), 6399: array(['µg/l'], dtype=object)}"
Benzo(b)Fluoranthene,[3278  731],"{731: array(['µg/l'], dtype=object), 3278: array(['ng/l'], dtype=object)}"
"Benzo(g,h,i)Perylene",[3279  714],"{714: array(['µg/l'], dtype=object), 3279: array(['ng/l'], dtype=object)}"
Benzo(k)Fluoranthene,[3280  733],"{733: array(['µg/l'], dtype=object), 3280: array(['ng/l'], dtype=object)}"
DDE -pp,[3294  551],"{551: array(['µg/l'], dtype=object), 3294: array(['ng/l'], dtype=object)}"
DDT -op,[3296  539],"{539: array(['µg/l'], dtype=object), 3296: array(['ng/l'], dtype=object)}"
DDT -pp,[3297  555],"{555: array(['µg/l'], dtype=object), 3297: array(['ng/l'], dtype=object)}"
Dichlorvos,[3300  507],"{507: array(['µg/l'], dtype=object), 3300: array(['ng/l'], dtype=object)}"
Fluoranthene,[3309  736],"{736: array(['µg/l'], dtype=object), 3309: array(['ng/l'], dtype=object)}"
"Hexabromocyclododecane Total: (Sum of a, b, g)",[9248 5945],"{5945: array(['ng/l'], dtype=object), 9248: array(['µg/l'], dtype=object)}"
"Indeno(1,2,3-cd)pyrene",[3316  746],"{746: array(['µg/l'], dtype=object), 3316: array(['ng/l'], dtype=object)}"
TDE -pp,[3330  559],"{559: array(['µg/l'], dtype=object), 3330: array(['ng/l'], dtype=object)}"
Turbidity,[6396   68],"{68: array(['FTU'], dtype=object), 6396: array(['NTU'], dtype=object)}"
