station_number,station_name,station_type,easting,northing,ngr,local_authority,sampling_datetime,sampling_reason,reason_group,sampling_medium,sampling_mechanism,parameter_shortname,parameter_name,sample_value,coded_value,unit_symbol,method_name,sampling_year
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0127,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.37,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9686,"Nitrogen, Total as N",0.446,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,241,Calcium,10.4,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",101.5,,%,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,237,Magnesium,11.9,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,199.2,,µS/cm,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,183,Sulphate as SO4,22.4,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,301,"Carbon, Organic, Dissolved as C :- {DOC}",3.01,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,211,Potassium,3.9,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,7610,Alkalinity to pH 4.5 : Grans Plot,60.0,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,67.3,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,172,Chloride,7.27,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.16,,scalar,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,8.9,,°C,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,207,Sodium,9.34,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.001,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-13 13:11:52,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.004,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.0064,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.0165,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0364,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9686,"Nitrogen, Total as N",0.291,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.48,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,301,"Carbon, Organic, Dissolved as C :- {DOC}",0.9,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",103.0,,%,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,172,Chloride,11.5,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,183,Sulphate as SO4,138.0,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,15.4,,°C,Field,2023
