parameter_shortname,parameter_name
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
4,Time of high tide
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
6,Sample Depth below surface
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
28,Weather : Wind Direction : Degrees
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
31,Borehole : Water level above OD
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
