metal,year,count
"Nickel, Leachable",2000,8
"Nickel, Leachable",2001,6
"Nickel, Leachable",2002,2
"Nickel, Leachable",2009,2
"Nickel, Leachable",Total,18
Chromium Hexavalent,2008,121
Chromium Hexavalent,2009,52
Chromium Hexavalent,2010,18
Chromium Hexavalent,2011,185
Chromium Hexavalent,2012,556
Chromium Hexavalent,2013,527
Chromium Hexavalent,2014,447
Chromium Hexavalent,2015,232
Chromium Hexavalent,Total,2138
"Copper, Leachable",2001,6
"Copper, Leachable",2002,2
"Copper, Leachable",2009,2
"Copper, Leachable",Total,10
"Mercury, Leachable",2001,6
"Mercury, Leachable",2009,2
"Mercury, Leachable",Total,8
"Chromium, Dissolved",2000,2043
"Chromium, Dissolved",2001,1813
"Chromium, Dissolved",2002,1997
"Chromium, Dissolved",2003,1479
"Chromium, Dissolved",2004,1474
"Chromium, Dissolved",2005,1436
"Chromium, Dissolved",2006,1445
"Chromium, Dissolved",2007,1692
"Chromium, Dissolved",2008,1088
"Chromium, Dissolved",2009,920
"Chromium, Dissolved",2010,902
"Chromium, Dissolved",2011,934
"Chromium, Dissolved",2012,4963
"Chromium, Dissolved",2013,2241
"Chromium, Dissolved",2014,1740
"Chromium, Dissolved",2015,1606
"Chromium, Dissolved",2016,1184
"Chromium, Dissolved",2017,730
"Chromium, Dissolved",2018,803
"Chromium, Dissolved",2019,1619
"Chromium, Dissolved",2020,534
"Chromium, Dissolved",2021,1284
"Chromium, Dissolved",2022,1383
"Chromium, Dissolved",2023,1451
"Chromium, Dissolved",Total,36761
"Cadmium, Dissolved",2000,1630
"Cadmium, Dissolved",2001,1478
"Cadmium, Dissolved",2002,1412
"Cadmium, Dissolved",2003,1752
"Cadmium, Dissolved",2004,1507
"Cadmium, Dissolved",2005,1570
"Cadmium, Dissolved",2006,1283
"Cadmium, Dissolved",2007,1599
"Cadmium, Dissolved",2008,983
"Cadmium, Dissolved",2009,1112
"Cadmium, Dissolved",2010,1670
"Cadmium, Dissolved",2011,3356
"Cadmium, Dissolved",2012,5596
"Cadmium, Dissolved",2013,2770
"Cadmium, Dissolved",2014,2392
"Cadmium, Dissolved",2015,2039
"Cadmium, Dissolved",2016,1628
"Cadmium, Dissolved",2017,1053
"Cadmium, Dissolved",2018,1194
"Cadmium, Dissolved",2019,2334
"Cadmium, Dissolved",2020,1078
"Cadmium, Dissolved",2021,1422
"Cadmium, Dissolved",2022,2066
"Cadmium, Dissolved",2023,2393
"Cadmium, Dissolved",Total,45317
Lead : Load,2002,3
Lead : Load,2003,8
Lead : Load,2004,8
Lead : Load,2005,4
Lead : Load,Total,23
Chromium : Dry Wt,2000,64
Chromium : Dry Wt,2001,46
Chromium : Dry Wt,2002,111
Chromium : Dry Wt,2003,51
Chromium : Dry Wt,2004,152
Chromium : Dry Wt,2005,132
Chromium : Dry Wt,2006,33
Chromium : Dry Wt,2007,38
Chromium : Dry Wt,2008,3
Chromium : Dry Wt,2009,24
Chromium : Dry Wt,2012,30
Chromium : Dry Wt,2021,31
Chromium : Dry Wt,2022,22
Chromium : Dry Wt,2023,26
Chromium : Dry Wt,Total,763
"Mercury, < 63 um : Dry Wt",2000,5
"Mercury, < 63 um : Dry Wt",2001,9
"Mercury, < 63 um : Dry Wt",2002,8
"Mercury, < 63 um : Dry Wt",Total,22
Chromium : HF Digest : Dry Wt,2008,30
Chromium : HF Digest : Dry Wt,2009,10
Chromium : HF Digest : Dry Wt,2010,10
Chromium : HF Digest : Dry Wt,2011,30
Chromium : HF Digest : Dry Wt,2012,20
Chromium : HF Digest : Dry Wt,2013,57
Chromium : HF Digest : Dry Wt,2014,33
Chromium : HF Digest : Dry Wt,2015,38
Chromium : HF Digest : Dry Wt,2016,59
Chromium : HF Digest : Dry Wt,2017,26
Chromium : HF Digest : Dry Wt,2018,30
Chromium : HF Digest : Dry Wt,2019,18
Chromium : HF Digest : Dry Wt,2020,10
Chromium : HF Digest : Dry Wt,2021,53
Chromium : HF Digest : Dry Wt,2022,48
Chromium : HF Digest : Dry Wt,2023,36
Chromium : HF Digest : Dry Wt,Total,508
Mercury : HF Digest : Dry Wt,2008,30
Mercury : HF Digest : Dry Wt,2009,10
Mercury : HF Digest : Dry Wt,Total,40
Mercury,2000,1154
Mercury,2001,613
Mercury,2002,1012
Mercury,2003,885
Mercury,2004,1075
Mercury,2005,924
Mercury,2006,799
Mercury,2007,748
Mercury,2008,733
Mercury,2009,636
Mercury,2010,741
Mercury,2011,739
Mercury,2012,689
Mercury,2013,707
Mercury,2014,536
Mercury,2015,703
Mercury,2016,351
Mercury,2017,487
Mercury,2018,369
Mercury,2019,545
Mercury,2020,332
Mercury,2021,35
Mercury,2022,300
Mercury,2023,240
Mercury,Total,15353
Copper : Dry Wt,2000,78
Copper : Dry Wt,2001,46
Copper : Dry Wt,2002,111
Copper : Dry Wt,2003,70
Copper : Dry Wt,2004,152
Copper : Dry Wt,2005,132
Copper : Dry Wt,2006,33
Copper : Dry Wt,2007,38
Copper : Dry Wt,2008,3
Copper : Dry Wt,2009,21
Copper : Dry Wt,2010,1
Copper : Dry Wt,2012,30
Copper : Dry Wt,2021,31
Copper : Dry Wt,2022,22
Copper : Dry Wt,2023,26
Copper : Dry Wt,Total,794
Zinc : Dry Wt,2000,78
Zinc : Dry Wt,2001,46
Zinc : Dry Wt,2002,111
Zinc : Dry Wt,2003,70
Zinc : Dry Wt,2004,152
Zinc : Dry Wt,2005,132
Zinc : Dry Wt,2006,33
Zinc : Dry Wt,2007,39
Zinc : Dry Wt,2008,3
Zinc : Dry Wt,2009,21
Zinc : Dry Wt,2010,1
Zinc : Dry Wt,2012,30
Zinc : Dry Wt,2021,31
Zinc : Dry Wt,2022,22
Zinc : Dry Wt,2023,26
Zinc : Dry Wt,Total,795
Zinc,2000,12427
Zinc,2001,9139
Zinc,2002,11882
Zinc,2003,12071
Zinc,2004,12947
Zinc,2005,12915
Zinc,2006,12132
Zinc,2007,12314
Zinc,2008,11316
Zinc,2009,11081
Zinc,2010,11491
Zinc,2011,7086
Zinc,2012,8081
Zinc,2013,6565
Zinc,2014,3106
Zinc,2015,2946
Zinc,2016,1419
Zinc,2017,1137
Zinc,2018,978
Zinc,2019,1419
Zinc,2020,839
Zinc,2021,836
Zinc,2022,1509
Zinc,2023,1563
Zinc,Total,167199
Copper : Wet Wt,2000,15
Copper : Wet Wt,2001,15
Copper : Wet Wt,2002,21
Copper : Wet Wt,2003,21
Copper : Wet Wt,2004,21
Copper : Wet Wt,2005,37
Copper : Wet Wt,2006,19
Copper : Wet Wt,2007,18
Copper : Wet Wt,2008,21
Copper : Wet Wt,2009,17
Copper : Wet Wt,2010,18
Copper : Wet Wt,2011,16
Copper : Wet Wt,2012,12
Copper : Wet Wt,2013,12
Copper : Wet Wt,2014,48
Copper : Wet Wt,2015,15
Copper : Wet Wt,2016,12
Copper : Wet Wt,2017,9
Copper : Wet Wt,2018,12
Copper : Wet Wt,2019,12
Copper : Wet Wt,2021,6
Copper : Wet Wt,2022,6
Copper : Wet Wt,2023,6
Copper : Wet Wt,Total,389
Lead : HF Digest : Dry Wt,2008,30
Lead : HF Digest : Dry Wt,2009,10
Lead : HF Digest : Dry Wt,2010,10
Lead : HF Digest : Dry Wt,2011,30
Lead : HF Digest : Dry Wt,2012,20
Lead : HF Digest : Dry Wt,2013,57
Lead : HF Digest : Dry Wt,2014,33
Lead : HF Digest : Dry Wt,2015,38
Lead : HF Digest : Dry Wt,2016,59
Lead : HF Digest : Dry Wt,2017,26
Lead : HF Digest : Dry Wt,2018,30
Lead : HF Digest : Dry Wt,2019,18
Lead : HF Digest : Dry Wt,2020,10
Lead : HF Digest : Dry Wt,2021,53
Lead : HF Digest : Dry Wt,2022,48
Lead : HF Digest : Dry Wt,2023,36
Lead : HF Digest : Dry Wt,Total,508
"Nickel, HF Digest : Dry Wt",2008,30
"Nickel, HF Digest : Dry Wt",2009,10
"Nickel, HF Digest : Dry Wt",2010,10
"Nickel, HF Digest : Dry Wt",2011,30
"Nickel, HF Digest : Dry Wt",2012,20
"Nickel, HF Digest : Dry Wt",2013,57
"Nickel, HF Digest : Dry Wt",2014,33
"Nickel, HF Digest : Dry Wt",2015,38
"Nickel, HF Digest : Dry Wt",2016,59
"Nickel, HF Digest : Dry Wt",2017,26
"Nickel, HF Digest : Dry Wt",2018,30
